SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5449","2016-08-04 03:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.034","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0003",""
"ON02IS5434","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.033","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0028",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.06","-0.07","<","0.011","0.011","0.036","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0096",""
"ON02IS5455","2016-08-03 23:00","S.SURFACE","0","-0.03","<","0.013","0.013","0.044","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0002",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.02","-0.03","<","0.058","0.058","0.19","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0077",""
"ON02IS5301","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.064","0.064","0.21","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0059",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.01","-0.02","<","0.1","0.1","0.34","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0074",""
"ON02IS5454","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.015","0.015","0.048","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0007",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.04","-0.05","<","0.016","0.016","0.053","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0094",""
"ON02IS5092","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.016","0.016","0.054","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0046",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.13","-0.14","<","0.017","0.017","0.056","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0075",""
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.017","0.017","0.058","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0027",""
"ON02IS5210","2016-08-06 08:00","S.SURFACE","0","-0.03","<","0.017","0.017","0.056","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0052",""
"ON02IS5448","2016-08-14 12:00","S.SURFACE","0","-0.03","","0.021","0.017","0.056","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0014",""
"ON02IS5284","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.023","0.023","0.077","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0057",""
"ON02IS5439","2016-08-06 10:30","S.SURFACE","0","-0.03","<","0.024","0.024","0.079","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0020",""
"ON02IS5273","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.025","0.025","0.083","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0056",""
