SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.014","0.014","0.047","9356","NG/G DWT","2-ETHYLHEXYL-2,3,4,5-TETRABROMOBENZOATE (EHTEBB OR EHTBB)","2-ÉTHYLHEXYL-2,3,4,5-TÉTRABROMOBENZOATE (EHTEBB OR EHTBB)","V","2016-ON0249-0025",""
"ON02IS5437","2016-08-07 08:00","S.SURFACE","0","-0.03","<","0.014","0.014","0.056","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0030",""
"ON02IS5453","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.014","0.014","0.071","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0006",""
"ON02IS5210","2016-08-06 08:00","S.SURFACE","0","-0.03","<","0.014","0.014","0.04","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0052",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.09","-0.1","<","0.015","0.015","0.051","9361","NG/G DWT","BIS(2-ETHYL-1-HEXYL)TETRABROMOPHTHALATE (BEHTBP)","BIS(2-ÉTHYL-1-HEXYL)TÉTRABROMOPHTHALATE (BEHTBP)","V","2016-ON0249-0099",""
"ON02IS5455","2016-08-03 23:00","S.SURFACE","0","-0.03","<","0.015","0.015","0.059","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0002",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.04","-0.05","<","0.016","0.016","0.054","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0079",""
"ON02IS5451","2016-08-04 06:00","S.SURFACE","0","-0.03","<","0.016","0.016","0.052","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0004",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.11","-0.12","<","0.017","0.017","0.055","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0087",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.14","-0.15","<","0.017","0.017","0.057","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0091",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.04","-0.05","<","0.019","0.019","0.065","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0079",""
"ON02IS5174","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.058","9354","NG/G DWT","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHENYL ETHER (DPTE)","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (DPTE)","V","2016-ON0249-0016",""
"ON02IS5031","2016-08-08 09:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.047","9343","NG/G DWT","1,2-BIS(2,4,6-TRIBROMOPHENOXY)ETHANE (BTBPE)","1,2-BIS(2,4,6-TRIBROMOPHÉNOXY)ÉTHANE (BTBPE)","V","2016-ON0249-0043",""
"ON02IS5031","2016-08-08 09:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.066","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0043",""
"ON02IS5031","2016-08-08 09:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.056","9364","NG/G DWT","HEXACHLOROCYCLOPENTADIENYL-DIBROMOCYCLOOCTANE (HCDBCO)","HEXACHLOROCYCLOPENTADIÈNYL-DIBROMOCYCLOOCTANE (HCDBCO)","V","2016-ON0249-0043",""
"ON02IS5031","2016-08-08 09:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.075","9369","NG/G DWT","BETA-TETRABROMOETHYLCYCLOHEXANE (BETA-TBECH)","BÊTA-TÉTRABROMOÉTHYLCYCLOHEXANE (BETA-TBECH, ßTBECH)","V","2016-ON0249-0043",""
"ON02IS5395","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.068","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0067",""
"ON02IS5395","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.019","0.019","0.078","9364","NG/G DWT","HEXACHLOROCYCLOPENTADIENYL-DIBROMOCYCLOOCTANE (HCDBCO)","HEXACHLOROCYCLOPENTADIÈNYL-DIBROMOCYCLOOCTANE (HCDBCO)","V","2016-ON0249-0067",""
